Algorithm;Hyperparameter (C);Values
Faure_1500_20.txt_ISDisG_0.004642; 0.00464159; 0.0378293, 0.0342693, 0.0392728, 0.0335713, 0.0344319, 0.0344561, 0.041152, 0.0323226, 0.036046, 0.0365189, 0.0370903, 0.0391111, 0.0383564, 0.0385132, 0.0396219, 0.031117, 0.0329873, 0.0567293, 0.0423521, 0.0362152, 0.0509525, 0.0392387, 0.0329811, 0.0347857, 0.0363133, 0.0357012, 0.0394319, 0.0467307, 0.0406759, 0.0452243, 0.054235, 0.0349785, 0.0312457, 0.0470115, 0.04229, 0.0409041, 0.0459146, 0.033961, 0.0453128, 0.0430778, 0.0465652, 0.0369115, 0.0528091, 0.0471391, 0.0391048, 0.0404415, 0.0555959, 0.0372019, 0.0501589, 0.0452289, 0.0339103, 0.0353094, 0.0530448, 0.0447141, 0.0384066, 0.054388, 0.0524368, 0.0475472, 0.0363974, 0.0532859, 0.0437848, 0.0506075, 0.0470031, 0.0465793, 0.0558826, 0.048251, 0.0446618, 0.0329453, 0.0430692, 0.0573243, 0.0470644, 0.057267, 0.032865, 0.0362979, 0.0330971, 0.0513456, 0.0403083, 0.0403163, 0.0366429, 0.0510976, 0.053739, 0.0421335, 0.0590753, 0.0576468, 0.0619355, 0.0566247, 0.0573313, 0.0477069, 0.059821, 0.0600821, 0.0561525, 0.0576119, 0.060458, 0.0613326, 0.0587506, 0.0615922, 0.0627549, 0.0591781, 0.0634964, 0.0641154, 
Faure_2000_50.txt_ISDisG_0.000464; 0.000464159; 0.035679, 0.0370461, 0.0348664, 0.0240815, 0.0349668, 0.0184082, 0.0252963, 0.0850022, 0.0715896, 0.0243891, 0.0322377, 0.049724, 0.0602095, 0.0543484, 0.0672045, 0.0328793, 0.0403478, 0.0418491, 0.0471222, 0.03472, 0.0328561, 0.0562399, 0.0275752, 0.0462934, 0.0245475, 0.0517825, 0.0674837, 0.0671587, 0.0631143, 0.0517483, 0.116667, 0.0333322, 0.0567807, 0.0363771, 0.0576278, 0.0503436, 0.0734154, 0.0839748, 0.068919, 0.0528912, 0.0282531, 0.041652, 0.0293772, 0.0507411, 0.0704767, 0.0792473, 0.0681885, 0.0866633, 0.0492993, 0.0565971, 0.0457642, 0.0955522, 0.0385335, 0.0241619, 0.0343617, 0.133708, 0.0524337, 0.0320158, 0.0343022, 0.0299693, 0.107415, 0.0622911, 0.0415275, 0.0926297, 0.0484953, 0.0326452, 0.0317911, 0.0294324, 0.0294218, 0.114131, 0.111302, 0.128548, 0.0521274, 0.0416545, 0.0373874, 0.0377646, 0.0914324, 0.087968, 0.0237579, 0.017627, 0.0677907, 0.0469874, 0.0795837, 0.0778938, 0.107883, 0.0304138, 0.0617226, 0.0859594, 0.0908747, 0.0902579, 0.0391273, 0.0353349, 0.048295, 0.0795551, 0.0868861, 0.108971, 0.0532027, 0.0889217, 0.117282, 0.0315991, 
Faure_4000_50.txt_ISDisG_0.000215; 0.000215443; 0.0167485, 0.0152835, 0.0151246, 0.0174768, 0.0266783, 0.0261478, 0.0367734, 0.0272812, 0.0473615, 0.027449, 0.0160376, 0.00840269, 0.013928, 0.0257169, 0.0534222, 0.0469764, 0.031163, 0.0111139, 0.0150626, 0.0330549, 0.0292808, 0.0211073, 0.036481, 0.0338764, 0.0301565, 0.00927682, 0.026192, 0.0220411, 0.0199619, 0.0209417, 0.0239948, 0.0357671, 0.014482, 0.0163353, 0.0380601, 0.025737, 0.0278798, 0.019671, 0.0146514, 0.0228328, 0.036347, 0.0329329, 0.0457234, 0.0138871, 0.0299076, 0.0296069, 0.0367651, 0.0438835, 0.0286339, 0.0362919, 0.0172445, 0.0257681, 0.0355597, 0.0371357, 0.0449097, 0.0329402, 0.0324954, 0.0300846, 0.0334123, 0.0403366, 0.0441796, 0.0321741, 0.0298933, 0.0362948, 0.0201539, 0.0362747, 0.0282384, 0.0491593, 0.0223968, 0.0172955, 0.0260176, 0.02568, 0.0268445, 0.03034, 0.035971, 0.0437346, 0.0252034, 0.0342302, 0.0129751, 0.0232915, 0.0207906, 0.0326606, 0.0325772, 0.0271016, 0.0371688, 0.0318858, 0.0473353, 0.0283497, 0.0292972, 0.0428848, 0.0492296, 0.0358518, 0.0567383, 0.0333902, 0.0320284, 0.0533227, 0.0589254, 0.0543712, 0.0678513, 0.053983, 
Halton_30_10.txt_ISDisG_2.154435; 2.15443; 0.475412, 0.469142, 0.463631, 0.504089, 0.484179, 0.486233, 0.480359, 0.492125, 0.515063, 0.495376, 0.472965, 0.475412, 0.486021, 0.472965, 0.474845, 0.472965, 0.480012, 0.486021, 0.467753, 0.463631, 0.483419, 0.475412, 0.480012, 0.472965, 0.472965, 0.496197, 0.485039, 0.483419, 0.472965, 0.479002, 0.504089, 0.473714, 0.485721, 0.485721, 0.482796, 0.472965, 0.463686, 0.480359, 0.467753, 0.482514, 0.485039, 0.467753, 0.476571, 0.477925, 0.484179, 0.472965, 0.469574, 0.476526, 0.481189, 0.473264, 0.476571, 0.490581, 0.467753, 0.486233, 0.499212, 0.472965, 0.472965, 0.476251, 0.483419, 0.479002, 0.483419, 0.499212, 0.472965, 0.472965, 0.48512, 0.467753, 0.482514, 0.493971, 0.474178, 0.473603, 0.472828, 0.496082, 0.500893, 0.462541, 0.496197, 0.470487, 0.490581, 0.472965, 0.476571, 0.481189, 0.492125, 0.472965, 0.486021, 0.472965, 0.474438, 0.459389, 0.476526, 0.469574, 0.473009, 0.463631, 0.472965, 0.474375, 0.47504, 0.472965, 0.463631, 0.467753, 0.467753, 0.500893, 0.472965, 0.471568, 
Halton_50_3.txt_ISDisG_0.046416; 0.0464159; 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 
Halton_50_4.txt_ISDisG_10.000000; 10; 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.124519, 0.128254, 0.124519, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.121701, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.121701, 
Halton_50_5.txt_ISDisG_1.000000; 1; 0.188556, 0.18546, 0.188556, 0.18546, 0.188556, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.188556, 0.188556, 0.188556, 0.188556, 0.188556, 0.18546, 0.18546, 0.188556, 0.18546, 0.18546, 0.18546, 0.18546, 0.188556, 0.18546, 0.188556, 0.18546, 0.188556, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.188556, 0.18546, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.18546, 0.18546, 0.188556, 0.188556, 0.188556, 0.18546, 0.188556, 0.18546, 0.18546, 0.188556, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.188556, 0.18546, 0.18546, 0.18546, 0.188556, 0.18546, 0.188556, 0.18546, 0.18546, 0.188556, 0.18546, 0.188556, 0.18546, 0.188556, 0.18546, 0.18546, 0.18546, 0.18546, 0.188556, 0.18546, 0.18546, 0.18546, 0.188556, 0.188556, 0.18546, 0.18546, 0.188556, 0.188556, 0.188556, 0.188556, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.18546, 0.18546, 
Halton_50_6.txt_ISDisG_1.000000; 1; 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 
Halton_50_7.txt_ISDisG_0.464159; 0.464159; 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 
Halton_50_8.txt_ISDisG_1.000000; 1; 0.304263, 0.308217, 0.306348, 0.311362, 0.304263, 0.304263, 0.311924, 0.308171, 0.304263, 0.308171, 0.310967, 0.304263, 0.308171, 0.304263, 0.304263, 0.304263, 0.308171, 0.304319, 0.304464, 0.308171, 0.308171, 0.308623, 0.308171, 0.304263, 0.304263, 0.308171, 0.304263, 0.311881, 0.304263, 0.304263, 0.312168, 0.311362, 0.304464, 0.304263, 0.308606, 0.306962, 0.313302, 0.308171, 0.308171, 0.304263, 0.305039, 0.313585, 0.304263, 0.308171, 0.304464, 0.306895, 0.309665, 0.305039, 0.308171, 0.304263, 0.304263, 0.304464, 0.308171, 0.304263, 0.304319, 0.311987, 0.305039, 0.311065, 0.305039, 0.308696, 0.304464, 0.308171, 0.308171, 0.304263, 0.308171, 0.304803, 0.311881, 0.306406, 0.304263, 0.305039, 0.310637, 0.308171, 0.313932, 0.304263, 0.305039, 0.311165, 0.311673, 0.308696, 0.318929, 0.304263, 0.304464, 0.311362, 0.308171, 0.313443, 0.308171, 0.308171, 0.304263, 0.308356, 0.304263, 0.318916, 0.304263, 0.304263, 0.304263, 0.304263, 0.313443, 0.304263, 0.304263, 0.308171, 0.304263, 0.308083, 
