Algorithm;Hyperparameter (C);Values
Faure_1500_20.txt_ISDisG/Sep_0.004642; 0.00464159; 0.0526104, 0.0400597, 0.0584884, 0.0404658, 0.038997, 0.0397803, 0.0528206, 0.0528508, 0.0503367, 0.0375866, 0.0345157, 0.0440316, 0.0510612, 0.0567293, 0.0349269, 0.0397741, 0.0344938, 0.053601, 0.0360085, 0.0575196, 0.0526077, 0.0523724, 0.0551353, 0.037675, 0.0542587, 0.0554571, 0.0548461, 0.03658, 0.0363014, 0.0368879, 0.04746, 0.0387164, 0.0579377, 0.0557099, 0.0388398, 0.0562904, 0.0570898, 0.046615, 0.0384095, 0.0379465, 0.0379305, 0.0442673, 0.053865, 0.0387165, 0.0521651, 0.0525648, 0.0480147, 0.0406761, 0.0529491, 0.0429801, 0.0416621, 0.0463872, 0.0517646, 0.0416574, 0.038803, 0.0405734, 0.055547, 0.0395763, 0.0388647, 0.0340636, 0.0459838, 0.0576093, 0.0513793, 0.0443473, 0.0391542, 0.0387774, 0.0521873, 0.053352, 0.0447339, 0.0546913, 0.0570565, 0.0580269, 0.0510091, 0.0556151, 0.0610963, 0.0572788, 0.0604576, 0.0429627, 0.0366389, 0.0413531, 0.0468804, 0.0364238, 0.0543653, 0.0389524, 0.0438313, 0.0610118, 0.0617904, 0.0626754, 0.058113, 0.0617715, 0.0649528, 0.0637244, 0.0639104, 0.0649979, 0.0647619, 0.0597153, 0.0624922, 0.0648478, 0.0639882, 0.0646344, 
Faure_2000_50.txt_ISDisG/Sep_0.000464; 0.000464159; 0.069516, 0.0471222, 0.0390664, 0.0475147, 0.0468994, 0.0433633, 0.0285454, 0.0266519, 0.0754512, 0.0357693, 0.0492153, 0.071552, 0.0565524, 0.0876655, 0.0402748, 0.0429562, 0.0389164, 0.0823941, 0.0441474, 0.0363377, 0.0323332, 0.0505877, 0.0468715, 0.0935266, 0.0286813, 0.0599319, 0.0293487, 0.037203, 0.0582991, 0.0619649, 0.0387156, 0.0399116, 0.0371112, 0.125109, 0.0603537, 0.0321575, 0.0380103, 0.0591112, 0.0630361, 0.0396594, 0.0602095, 0.040731, 0.0850286, 0.0500991, 0.0554189, 0.034648, 0.0335569, 0.0276119, 0.0480672, 0.100322, 0.0797839, 0.0508168, 0.118631, 0.0407603, 0.0955522, 0.0362802, 0.0338473, 0.0498687, 0.0514081, 0.0832452, 0.0330186, 0.0629026, 0.0777057, 0.0374601, 0.0967826, 0.0657879, 0.0341782, 0.0208654, 0.0407848, 0.0239442, 0.0628819, 0.0205785, 0.0350069, 0.0461044, 0.0732593, 0.0388968, 0.0912093, 0.114685, 0.0807355, 0.057094, 0.0312144, 0.104149, 0.0621153, 0.0350886, 0.0401418, 0.110763, 0.0295016, 0.0262654, 0.0309319, 0.0848468, 0.0756463, 0.0399267, 0.0391273, 0.0938572, 0.0902579, 0.0321134, 0.0459791, 0.0362353, 0.0438015, 0.0595954, 
Faure_4000_50.txt_ISDisG/Sep_0.000215; 0.000215443; 0.0294047, 0.0228877, 0.0153444, 0.0301486, 0.0224451, 0.0369332, 0.0245279, 0.0269951, 0.0364535, 0.0355406, 0.029915, 0.0305812, 0.0359737, 0.0382152, 0.0218827, 0.0518396, 0.0373608, 0.0150437, 0.0169845, 0.0213721, 0.0228328, 0.0291626, 0.03714, 0.0265585, 0.0158897, 0.0180348, 0.0415366, 0.0377233, 0.0197294, 0.0453262, 0.0367566, 0.0293774, 0.0310622, 0.0317408, 0.0220617, 0.0376661, 0.0316867, 0.0244484, 0.0451329, 0.0436044, 0.0399358, 0.0299553, 0.0348957, 0.0156917, 0.0392858, 0.0302514, 0.0280928, 0.0483049, 0.0281005, 0.0358422, 0.0388366, 0.0353272, 0.0173549, 0.0323558, 0.036899, 0.0328893, 0.0326546, 0.032087, 0.0625813, 0.0171786, 0.0249797, 0.016163, 0.0349409, 0.0287089, 0.028975, 0.0290298, 0.0248869, 0.0388038, 0.0177683, 0.0534524, 0.0327226, 0.0630561, 0.0411232, 0.0531547, 0.0486672, 0.0442064, 0.0318375, 0.0266969, 0.0465895, 0.0318144, 0.058072, 0.0325108, 0.0246157, 0.0225721, 0.0319201, 0.0339592, 0.0445062, 0.0532414, 0.0452175, 0.0532241, 0.0293697, 0.0395706, 0.0466665, 0.0277045, 0.0358224, 0.0377968, 0.0498846, 0.0324156, 0.0261247, 0.0417027, 
Halton_30_10.txt_ISDisG/Sep_2.154435; 2.15443; 0.483419, 0.482796, 0.483975, 0.483975, 0.472965, 0.467753, 0.486021, 0.485721, 0.463631, 0.467753, 0.472965, 0.472965, 0.475412, 0.506213, 0.463631, 0.485315, 0.474157, 0.471529, 0.506213, 0.470978, 0.464604, 0.47504, 0.467753, 0.496197, 0.476526, 0.476563, 0.496197, 0.463631, 0.472965, 0.467564, 0.506213, 0.467753, 0.492125, 0.464604, 0.462541, 0.472965, 0.492125, 0.494991, 0.495376, 0.473714, 0.490581, 0.466133, 0.486021, 0.498377, 0.467753, 0.483461, 0.472965, 0.467753, 0.485039, 0.471568, 0.470431, 0.486541, 0.482796, 0.482598, 0.463631, 0.459389, 0.477003, 0.485039, 0.480553, 0.460892, 0.478762, 0.48512, 0.473389, 0.496082, 0.472965, 0.496082, 0.48512, 0.46726, 0.499212, 0.467753, 0.475412, 0.466094, 0.472965, 0.463631, 0.486021, 0.463631, 0.479002, 0.483419, 0.472965, 0.472965, 0.472965, 0.467406, 0.472965, 0.472965, 0.465421, 0.472965, 0.482598, 0.463631, 0.463631, 0.467753, 0.463406, 0.48512, 0.474157, 0.473147, 0.462541, 0.463631, 0.463631, 0.473347, 0.482796, 0.474157, 
Halton_50_3.txt_ISDisG/Sep_0.100000; 0.1; 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 
Halton_50_4.txt_ISDisG/Sep_2.154435; 2.15443; 0.121701, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.120535, 0.120535, 0.128254, 0.124519, 0.128254, 0.128254, 0.121701, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.121701, 0.128254, 0.128254, 0.128254, 0.121701, 0.128254, 0.124519, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.128254, 0.121701, 0.122245, 0.124519, 0.124519, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.120535, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.128254, 0.124519, 0.128254, 0.124519, 
Halton_50_5.txt_ISDisG/Sep_1.000000; 1; 0.18546, 0.188556, 0.18546, 0.18546, 0.188556, 0.18546, 0.18546, 0.18546, 0.188556, 0.18546, 0.18546, 0.18546, 0.18546, 0.188556, 0.18546, 0.18546, 0.188556, 0.188556, 0.18546, 0.188556, 0.188556, 0.18546, 0.188556, 0.18546, 0.18546, 0.188556, 0.18546, 0.188556, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.188556, 0.18546, 0.18546, 0.188556, 0.18546, 0.18546, 0.18546, 0.188556, 0.188556, 0.18546, 0.188556, 0.18546, 0.188556, 0.188556, 0.18546, 0.18546, 0.188556, 0.18546, 0.188556, 0.18546, 0.18546, 0.18546, 0.18546, 0.188556, 0.188556, 0.18546, 0.18546, 0.18546, 0.188556, 0.188556, 0.18546, 0.188556, 0.18546, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.188556, 0.188556, 0.188556, 0.188556, 0.18546, 0.18546, 0.188556, 0.188556, 0.18546, 0.18546, 0.188556, 0.188556, 0.18546, 0.18546, 0.188556, 0.188556, 0.188556, 0.18546, 0.188556, 0.188556, 0.188556, 0.18546, 0.18546, 0.188556, 0.188556, 
Halton_50_6.txt_ISDisG/Sep_1.000000; 1; 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 0.228064, 
Halton_50_7.txt_ISDisG/Sep_0.464159; 0.464159; 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 0.267753, 
Halton_50_8.txt_ISDisG/Sep_1.000000; 1; 0.307202, 0.304263, 0.317291, 0.304464, 0.308171, 0.304263, 0.304263, 0.304263, 0.304263, 0.308171, 0.304263, 0.305039, 0.304464, 0.304263, 0.305039, 0.304263, 0.31118, 0.304263, 0.304263, 0.304263, 0.308171, 0.308171, 0.304263, 0.308171, 0.30765, 0.305039, 0.307717, 0.308171, 0.304263, 0.304263, 0.304263, 0.304263, 0.304263, 0.304263, 0.308171, 0.308171, 0.308171, 0.304263, 0.308171, 0.304263, 0.312775, 0.308171, 0.304263, 0.308918, 0.304263, 0.304263, 0.309665, 0.305118, 0.311673, 0.304263, 0.314263, 0.305039, 0.308171, 0.31871, 0.304263, 0.304263, 0.305039, 0.311673, 0.304464, 0.305695, 0.305039, 0.304263, 0.326092, 0.308171, 0.304263, 0.311362, 0.304263, 0.316647, 0.308248, 0.308171, 0.304263, 0.308083, 0.304263, 0.309485, 0.304263, 0.304263, 0.314511, 0.304263, 0.308171, 0.308171, 0.304263, 0.308171, 0.308696, 0.304263, 0.308171, 0.308171, 0.318929, 0.304263, 0.313443, 0.304263, 0.308171, 0.305039, 0.307865, 0.304263, 0.304263, 0.320934, 0.304263, 0.304263, 0.314216, 0.319468, 
