Algorithm;Hyperparameter (C);Values
Grid State Space; 4.64159e-05; 0.0508576, 0.0547501, 0.0474974, 0.141214, 0.054656, 0.139618, 0.0574425, 0.0493892, 0.152962, 0.104507, 0.15262, 0.11182, 0.0525692, 0.0375879, 0.0586417, 0.153388, 0.107904, 0.0590931, 0.0436802, 0.0406255, 0.140157, 0.150195, 0.127976, 0.0521986, 0.142018, 0.130181, 0.05909, 0.0477171, 0.090231, 0.133949, 0.0398216, 0.143044, 0.164649, 0.12773, 0.043794, 0.107464, 0.136873, 0.135499, 0.0497175, 0.148631, 0.131809, 0.0550685, 0.141275, 0.135309, 0.138055, 0.123682, 0.0620671, 0.0505194, 0.128754, 0.137813, 0.0497789, 0.0497789, 0.14137, 0.0466586, 0.133848, 0.140269, 0.130279, 0.145221, 0.137028, 0.0552058, 0.132701, 0.141316, 0.135859, 0.143281, 0.136735, 0.163899, 0.139549, 0.164481, 0.125964, 0.126192, 0.0569664, 0.143706, 0.141284, 0.0606544, 0.152435, 0.136068, 0.136247, 0.11464, 0.11699, 0.143044, 0.143359, 0.132927, 0.159819, 0.149212, 0.0486045, 0.13333, 0.126246, 0.0638912, 0.137907, 0.14671, 0.0501115, 0.147965, 0.137457, 0.0512045, 0.147075, 0.0498195, 0.141191, 0.16905, 0.141134, 0.0511426, 
Deterministic State Space; 4.64159e-05; 0.0642346, 
Improved Split State Space; 4.64159e-05; 0.0670494, 0.0663339, 0.0793956, 0.0847708, 0.0590955, 0.0682072, 0.0701686, 0.0840832, 0.075603, 0.073386, 0.078916, 0.0871329, 0.114884, 0.118314, 0.123688, 0.118807, 0.123688, 0.156993, 0.131908, 0.128569, 0.16196, 0.131908, 0.128569, 0.16196, 0.16196, 0.141941, 0.141977, 0.165747, 0.16119, 0.127116, 0.156792, 0.135946, 0.166438, 0.166438, 0.128569, 0.166438, 0.153079, 0.166438, 0.162651, 0.162651, 0.12523, 0.166438, 0.165747, 0.166438, 0.165056, 0.166438, 0.166438, 0.166438, 0.170184, 0.140338, 0.128481, 0.166438, 0.166438, 0.166438, 0.166438, 0.157315, 0.166438, 0.166438, 0.162651, 0.166438, 0.157529, 0.150068, 0.166438, 0.161919, 0.166438, 0.166438, 0.166438, 0.166438, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.158945, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 
Smooth State Space; 4.64159e-05; 0.0682072, 0.0670494, 0.0663339, 0.0847708, 0.0590955, 0.0701686, 0.0840832, 0.075603, 0.073386, 0.078916, 0.0793956, 0.0871329, 0.114884, 0.118314, 0.123688, 0.123688, 0.141941, 0.156993, 0.118807, 0.131908, 0.128569, 0.128569, 0.135946, 0.131908, 0.128569, 0.16196, 0.16196, 0.165747, 0.141977, 0.165747, 0.16119, 0.128481, 0.127116, 0.162651, 0.156792, 0.150068, 0.166438, 0.166438, 0.166438, 0.162651, 0.153079, 0.166438, 0.165056, 0.12523, 0.166438, 0.162651, 0.166438, 0.166438, 0.166438, 0.166438, 0.170184, 0.166438, 0.166438, 0.140338, 0.166438, 0.157315, 0.166438, 0.157529, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.161919, 0.166438, 0.166438, 0.162692, 0.162692, 0.162692, 0.16196, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.158945, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 
Point State Space; 4.64159e-05; 0.000175258, 5.71881e-05, 0.000180322, 0.0129634, 0.0212968, 0.00820951, 0.0163732, 0.0215061, 0.00823166, 7.0147e-05, 0.0156557, 0.0164213, 0.00788404, 0.0196506, 0.0217456, 0.015583, 0.00793948, 0.0122149, 0.00689185, 0.000227239, 0.0155592, 0.00688723, 0.0266246, 0.0242389, 0.00711074, 0.00757026, 0.0205477, 0.00814084, 3.50808e-05, 0.00799521, 0.0131413, 0.0168169, 0.0165209, 0.00819921, 0.0157204, 0.0151471, 0.0078496, 0.0202422, 0.000758082, 0.00786224, 0.000574513, 0.0359238, 0.00826409, 0.0145601, 0.0141794, 0.0149629, 0.0100953, 0.0381457, 0.0128565, 0.0297199, 0.00826191, 0.0141669, 0.00825665, 0.0161738, 0.00825219, 0.0161727, 0.0189804, 0.0161085, 0.026233, 0.00825354, 0.00753763, 0.0272114, 0.00126674, 0.0171124, 0.0261062, 0.0154376, 0.015645, 0.0156606, 0.0478021, 0.00825616, 0.0736553, 0.033079, 0.00789056, 0.0164703, 0.0303427, 0.00823403, 0.015065, 0.0130433, 0.0444446, 0.0306629, 0.0216322, 0.0166241, 0.0249416, 0.0298428, 0.0205141, 0.0259734, 0.0208206, 0.0247971, 0.0285663, 0.0177874, 0.0157821, 0.0253169, 0.026019, 0.00823486, 0.0190887, 0.0342167, 0.0257855, 0.0170496, 0.0351553, 0.0308522, 
Grid State Space; 0.0001; 0.128917, 0.0706988, 0.0481696, 0.0487339, 0.129093, 0.101125, 0.152882, 0.0538391, 0.138479, 0.0507085, 0.135553, 0.141683, 0.048573, 0.137768, 0.143044, 0.0479219, 0.139826, 0.0492841, 0.0585631, 0.0485568, 0.0454472, 0.155746, 0.0488151, 0.116847, 0.112499, 0.0481812, 0.129097, 0.150474, 0.0535932, 0.0496097, 0.0438382, 0.0509323, 0.0590803, 0.114446, 0.0473112, 0.0437263, 0.14117, 0.0487232, 0.0432442, 0.145307, 0.153171, 0.123811, 0.0488351, 0.135652, 0.0591091, 0.13503, 0.140153, 0.132545, 0.133231, 0.149506, 0.116472, 0.0442323, 0.138248, 0.144133, 0.0358047, 0.132191, 0.0645752, 0.150734, 0.140957, 0.15198, 0.146358, 0.137996, 0.136125, 0.131084, 0.142556, 0.135015, 0.131683, 0.116299, 0.146976, 0.146858, 0.136659, 0.119497, 0.157779, 0.137466, 0.135312, 0.126238, 0.164121, 0.105627, 0.139672, 0.137691, 0.134862, 0.0508568, 0.152089, 0.0643987, 0.0637235, 0.0816636, 0.144365, 0.144002, 0.0495476, 0.160276, 0.137457, 0.128746, 0.131231, 0.112695, 0.0609779, 0.0361298, 0.163514, 0.0902427, 0.15053, 0.135033, 
Deterministic State Space; 0.0001; 0.0642346, 
Improved Split State Space; 0.0001; 0.0642346, 0.0642346, 0.0637681, 0.0837505, 0.0642346, 0.102618, 0.0749779, 0.0791535, 0.0646528, 0.0813706, 0.0859485, 0.08175, 0.0765161, 0.0954005, 0.0819389, 0.0808179, 0.0758013, 0.146172, 0.0976302, 0.157523, 0.123688, 0.123688, 0.101058, 0.157523, 0.16135, 0.157523, 0.0974851, 0.157523, 0.132946, 0.128569, 0.16045, 0.128569, 0.137747, 0.128569, 0.165747, 0.131908, 0.128569, 0.16196, 0.16196, 0.16196, 0.128569, 0.16196, 0.157482, 0.16196, 0.125053, 0.128569, 0.165747, 0.165056, 0.165747, 0.130322, 0.16196, 0.160701, 0.128569, 0.165056, 0.137659, 0.166438, 0.160495, 0.12523, 0.166438, 0.12523, 0.166438, 0.166438, 0.166438, 0.166438, 0.161919, 0.166438, 0.166438, 0.166438, 0.166438, 0.162651, 0.166438, 0.162651, 0.162692, 0.162692, 0.166438, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.158945, 0.162692, 0.166438, 0.162692, 0.166438, 
Smooth State Space; 0.0001; 0.0642346, 0.0808179, 0.0637681, 0.0642346, 0.0837505, 0.102618, 0.0642346, 0.0791535, 0.0749779, 0.0646528, 0.0813706, 0.0859485, 0.0819389, 0.0954005, 0.0765161, 0.0758013, 0.08175, 0.146172, 0.0976302, 0.157523, 0.123688, 0.123688, 0.101058, 0.157523, 0.16135, 0.157523, 0.16045, 0.0974851, 0.157523, 0.132946, 0.128569, 0.128569, 0.125053, 0.128569, 0.128569, 0.131908, 0.137747, 0.16196, 0.137659, 0.128569, 0.157482, 0.16196, 0.16196, 0.165747, 0.128569, 0.165747, 0.16196, 0.130322, 0.165056, 0.160701, 0.165747, 0.165056, 0.16196, 0.16196, 0.160495, 0.128569, 0.166438, 0.166438, 0.166438, 0.162651, 0.12523, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.166438, 0.12523, 0.166438, 0.162692, 0.161919, 0.162692, 0.162651, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.158945, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 0.162692, 
Point State Space; 0.0001; 3.50808e-05, 0.000180322, 7.0147e-05, 0.000574513, 0.000227239, 5.71881e-05, 0.000175258, 0.000758082, 0.0164213, 0.00796556, 0.00126674, 0.0164147, 0.0156557, 0.015583, 0.0131413, 0.0196506, 0.0217456, 0.00818447, 0.0164677, 0.00823166, 0.00799521, 0.0160245, 0.0381457, 0.00776169, 0.0266246, 0.00753763, 0.0168169, 0.00735796, 0.0297199, 0.0242389, 0.00775538, 0.00825219, 0.0122149, 0.0155592, 0.00796023, 0.0215061, 0.0162324, 0.00820925, 0.0114264, 0.00826409, 0.0165209, 0.007002, 0.00793948, 0.00826191, 0.0205477, 0.0171124, 0.00825616, 0.0082573, 0.0145601, 0.0151824, 0.0359238, 0.0141794, 0.0162685, 0.00820951, 0.00791549, 0.00725788, 0.0151471, 0.00825354, 0.0154851, 0.0261942, 0.015031, 0.0131726, 0.0303427, 0.0202422, 0.0272114, 0.0259734, 0.00823403, 0.0161727, 0.0156606, 0.0208206, 0.0189804, 0.0155345, 0.026233, 0.0285663, 0.0298863, 0.0221854, 0.0177874, 0.0342167, 0.0195637, 0.0130433, 0.0253169, 0.0184359, 0.015065, 0.0736553, 0.0257855, 0.0444446, 0.026019, 0.0166241, 0.0247971, 0.0478021, 0.00823486, 0.0249416, 0.0205141, 0.0306629, 0.0170496, 0.0132606, 0.0343143, 0.0308522, 0.0298428, 0.0157821, 
