Algorithm;Hyperparameter (C);Values
Improved Exact Space; 2.15443e-05; 0.0476888, 0.0578993, 0.0350684, 0.0728985, 0.0653309, 0.102006, 0.0843175, 0.103715, 0.0655575, 0.0870627, 0.0876232, 0.105861, 0.0825316, 0.11103, 0.0827297, 0.138888, 0.124636, 0.0995875, 0.0698139, 0.0827709, 0.0416147, 0.0428128, 0.085977, 0.0699648, 0.077979, 0.0772803, 0.0977932, 0.0825813, 0.0904443, 0.0511103, 0.0594404, 0.0545514, 0.0462862, 0.0837377, 0.102928, 0.0961939, 0.0774522, 0.0685595, 0.0696911, 0.0393212, 0.0973908, 0.0881108, 0.0682685, 0.0835656, 0.0475851, 0.0643321, 0.0565274, 0.0626375, 0.110797, 0.0552921, 0.0737177, 0.0410976, 0.0586051, 0.0551286, 0.0625824, 0.0641735, 0.0558797, 0.0854937, 0.0721013, 0.0519724, 0.0756382, 0.0706146, 0.0856715, 0.0835783, 0.123074, 0.0779755, 0.116373, 0.0725669, 0.0533413, 0.063425, 0.102255, 0.12627, 0.0754253, 0.0438627, 0.0946639, 0.0696215, 0.132552, 0.083119, 0.062286, 0.0496388, 0.0679314, 0.0957415, 0.0690287, 0.070887, 0.0945247, 0.0922269, 0.0687494, 0.105409, 0.0799794, 0.0820342, 0.0872063, 0.120884, 0.0823603, 0.100879, 0.0812781, 0.09038, 0.0766693, 0.0676018, 0.0831701, 0.0685348, 
Point State Space; 2.15443e-05; 3.53976e-10, 1.54924e-09, 2.55501e-07, 1.20658e-10, 1.69556e-09, 2.80697e-08, 3.69619e-09, 1.0189e-09, 3.23065e-07, 1.60817e-09, 6.11079e-10, 8.32809e-08, 1.293e-09, 3.36105e-09, 2.37425e-07, 6.39786e-09, 1.18868e-10, 3.66445e-11, 0.00378072, 0.00189035, 5.91695e-10, 3.99727e-05, 0.00378071, 0.00189036, 0.00189034, 5.09546e-08, 0.00189036, 0.005671, 0.00377972, 1.08189e-13, 0.00567094, 0.00378069, 0.00378, 0.00378049, 0.00567107, 0.00189036, 0.0037807, 0.00567062, 0.00189036, 0.00189035, 0.00756117, 0.00189035, 0.00567066, 0.00378072, 0.00189036, 0.00756103, 0.00567043, 0.00189035, 0.00189036, 0.00567102, 0.00189036, 0.00189036, 0.00189036, 0.00189036, 0.00378058, 0.00189036, 0.00189036, 0.00378072, 0.0037807, 0.00189036, 0.00189021, 0.00189036, 0.00378068, 0.00566993, 0.00189036, 0.00567068, 0.00378069, 0.00378072, 0.00756088, 0.00378071, 0.0037807, 0.00944651, 0.00378072, 0.00378072, 0.00378071, 0.00756064, 0.00567107, 0.00378071, 0.00378071, 0.00378072, 0.00378039, 0.00567062, 0.00567106, 0.00378071, 0.0056708, 0.00944868, 0.0113362, 0.00567108, 0.00189036, 0.00189036, 0.0113184, 0.00945025, 0.00378072, 0.00378071, 0.011317, 0.0056705, 0.00378072, 0.0132296, 0.00940089, 0.0113378, 
Grid State Space; 4.64159e-05; 0.0207886, 0.0219745, 0.0219618, 0.0234756, 0.0237025, 0.0240299, 0.0218502, 0.0226317, 0.0220533, 0.0221374, 0.0232163, 0.0249904, 0.0226476, 0.0186584, 0.0240534, 0.023114, 0.0223016, 0.0252943, 0.0242109, 0.024236, 0.0242041, 0.0250734, 0.0276475, 0.0262418, 0.0252105, 0.0273919, 0.0270113, 0.0275411, 0.02614, 0.0254247, 0.0274453, 0.0275684, 0.0258753, 0.0275157, 0.0280628, 0.0276853, 0.0262185, 0.0261185, 0.0275656, 0.0277317, 0.0262579, 0.0262298, 0.0268684, 0.0262196, 0.025752, 0.0276315, 0.0262, 0.0271935, 0.0266507, 0.027084, 0.0276951, 0.026603, 0.0262215, 0.0276666, 0.0276633, 0.0277736, 0.0261277, 0.026248, 0.0261374, 0.0287524, 0.0261718, 0.0264685, 0.0260581, 0.027417, 0.026156, 0.0260589, 0.0260289, 0.026347, 0.0273011, 0.0260881, 0.0287345, 0.025379, 0.0279606, 0.0262352, 0.0256173, 0.0272528, 0.0261775, 0.0257662, 0.0285537, 0.026103, 0.0296208, 0.0296079, 0.0291035, 0.0278201, 0.0277388, 0.032387, 0.0269422, 0.0296474, 0.0277471, 0.0261043, 0.0311686, 0.0312979, 0.0312581, 0.0313986, 0.0325526, 0.0264244, 0.0287379, 0.0329882, 0.0311695, 0.0360357, 
Grid State Exact; 4.64159e-05; 0.0094517, 0.00944923, 0.0113391, 0.0108508, 0.00945165, 0.0169188, 0.00945124, 0.00945173, 0.00945046, 0.00756137, 0.00944832, 0.00945167, 0.00944999, 0.00945104, 0.00945172, 0.00945154, 0.0094518, 0.00943511, 0.0150266, 0.0113007, 0.00945164, 0.00945156, 0.00945145, 0.00567108, 0.00945055, 0.0169784, 0.00945063, 0.00945114, 0.0111776, 0.0132174, 0.0094515, 0.00945179, 0.00945168, 0.0094507, 0.0131815, 0.00944594, 0.00567105, 0.00756138, 0.0113394, 0.00943619, 0.015113, 0.00945178, 0.00944717, 0.0113364, 0.0151101, 0.00945177, 0.0112798, 0.00945118, 0.00945145, 0.00945062, 0.00945175, 0.0094392, 0.00567107, 0.00945176, 0.0131268, 0.00945097, 0.00945173, 0.00945168, 0.00945173, 0.00945087, 0.0146835, 0.0150712, 0.00945168, 0.00945153, 0.00945175, 0.00945162, 0.00945098, 0.00945162, 0.00945167, 0.0129682, 0.0094482, 0.00945171, 0.0094502, 0.0131441, 0.00945173, 0.0132098, 0.0094504, 0.011255, 0.0151169, 0.0162069, 0.00945026, 0.018513, 0.00945174, 0.0169846, 0.00755968, 0.0207346, 0.00945133, 0.00945113, 0.0112856, 0.0186556, 0.00567107, 0.00756138, 0.0187776, 0.00756142, 0.0188043, 0.00943844, 0.00945179, 0.0203638, 0.0187448, 0.0204751, 
Deterministic State Space; 4.64159e-05; 0.0371359, 
Improved Split State Space; 4.64159e-05; 0.115682, 0.121139, 0.115571, 0.13342, 0.126806, 0.129243, 0.144383, 0.119027, 0.121196, 0.111237, 0.114287, 0.147295, 0.142453, 0.126918, 0.112046, 0.132599, 0.13876, 0.127246, 0.137369, 0.14313, 0.139188, 0.118147, 0.122971, 0.133042, 0.13913, 0.129217, 0.145028, 0.150067, 0.129282, 0.144786, 0.141445, 0.128852, 0.139585, 0.143389, 0.138741, 0.123002, 0.130883, 0.1323, 0.134491, 0.114093, 0.125954, 0.152958, 0.128465, 0.145625, 0.139461, 0.128247, 0.134664, 0.13525, 0.161219, 0.164494, 0.142527, 0.146381, 0.149831, 0.124328, 0.125135, 0.152111, 0.146261, 0.108255, 0.120987, 0.144528, 0.132271, 0.122196, 0.148164, 0.148996, 0.149022, 0.1105, 0.171577, 0.0898105, 0.134207, 0.146494, 0.10177, 0.119892, 0.131801, 0.148138, 0.145361, 0.137121, 0.162155, 0.132315, 0.142269, 0.106838, 0.137637, 0.151264, 0.149567, 0.133321, 0.106068, 0.135527, 0.159492, 0.140724, 0.126651, 0.122139, 0.165381, 0.136636, 0.14778, 0.115564, 0.129078, 0.137317, 0.15927, 0.159258, 0.124326, 0.139249, 
Improved Exact Space; 4.64159e-05; 0.0822569, 0.0595434, 0.0995875, 0.102006, 0.0760823, 0.0779755, 0.10556, 0.0706146, 0.0734762, 0.070887, 0.0726344, 0.1275, 0.0517683, 0.0613453, 0.0680219, 0.0682685, 0.0791745, 0.0462862, 0.102928, 0.138888, 0.0345966, 0.0977932, 0.0575602, 0.104173, 0.0876232, 0.0592622, 0.0648122, 0.0865986, 0.0772803, 0.0973908, 0.0728985, 0.0856223, 0.0558797, 0.102867, 0.102187, 0.0821546, 0.0698139, 0.0588019, 0.0606632, 0.0685364, 0.0870627, 0.0767487, 0.0588743, 0.0648271, 0.0551286, 0.0699648, 0.0633175, 0.0372792, 0.0667694, 0.0696164, 0.0476888, 0.056278, 0.0919795, 0.0756382, 0.0378698, 0.0696215, 0.148609, 0.0721013, 0.0774522, 0.0799794, 0.0961939, 0.0910642, 0.0459676, 0.0725669, 0.0562205, 0.0947246, 0.0501911, 0.0742613, 0.0786153, 0.0467603, 0.0463078, 0.0754253, 0.0405628, 0.0577144, 0.0418916, 0.0790094, 0.0457575, 0.0695241, 0.0559829, 0.105861, 0.0511103, 0.068781, 0.0958871, 0.09038, 0.0772648, 0.0676067, 0.111286, 0.0970392, 0.0945461, 0.0513652, 0.0823456, 0.0727049, 0.0773264, 0.0958381, 0.0825296, 0.103867, 0.10381, 0.110797, 0.078591, 0.0838277, 
Point State Space; 4.64159e-05; 1.293e-09, 3.36105e-09, 3.69619e-09, 1.54924e-09, 2.55501e-07, 1.20658e-10, 3.23065e-07, 1.0189e-09, 1.60817e-09, 5.09546e-08, 6.11079e-10, 0.00189036, 0.00189036, 2.37425e-07, 3.66445e-11, 6.39786e-09, 2.80697e-08, 1.18868e-10, 0.00189035, 0.00378069, 0.00189036, 0.00378072, 0.00378072, 0.00378007, 1.69556e-09, 1.08189e-13, 0.00189035, 0.00189036, 0.00378072, 0.00189036, 0.00189035, 3.99727e-05, 0.00189036, 5.91695e-10, 0.00189036, 0.00377972, 0.00189036, 8.32809e-08, 0.00378047, 0.00189036, 0.00189036, 0.00189025, 0.00189036, 0.00378071, 3.53976e-10, 0.00189036, 0.00189036, 0.00567065, 0.00566995, 0.00189036, 0.00567102, 0.00189034, 0.00189036, 0.00756103, 0.00189036, 0.00567066, 0.00378072, 0.00378071, 0.00378068, 0.0113184, 0.0037807, 0.0056708, 0.00567107, 0.00378071, 0.00567107, 0.00378072, 0.00378067, 0.0037807, 0.00567106, 0.00378072, 0.00378039, 0.00944637, 0.00378071, 0.0056705, 0.00378071, 0.0075603, 0.005671, 0.00567062, 0.00378071, 0.00189036, 0.00756088, 0.00378071, 0.00567068, 0.00567094, 0.00378072, 0.00944868, 0.0037807, 0.00189036, 0.0113172, 0.00378071, 0.00945019, 0.00378072, 0.00756117, 0.00378062, 0.0113362, 0.00567108, 0.00567043, 0.0113378, 0.0132296, 0.00940089, 
Grid State Space; 0.0001; 0.0258093, 0.0222576, 0.0186463, 0.023209, 0.0225094, 0.0240018, 0.0225151, 0.0220916, 0.023643, 0.0218693, 0.0225626, 0.020786, 0.0275218, 0.0217367, 0.0274503, 0.0224789, 0.0275862, 0.0261683, 0.0253695, 0.0278398, 0.0257278, 0.0260811, 0.0275472, 0.0253786, 0.0261309, 0.0224101, 0.0263642, 0.0261576, 0.0279156, 0.0259966, 0.026215, 0.0261266, 0.027982, 0.0261811, 0.0261169, 0.0276873, 0.0277164, 0.0258428, 0.0277859, 0.0279346, 0.0269663, 0.0280435, 0.0223296, 0.0184882, 0.0274483, 0.0297235, 0.0277755, 0.0260994, 0.0263992, 0.0278462, 0.0261453, 0.0282316, 0.0278361, 0.0293698, 0.02794, 0.027784, 0.027345, 0.0328907, 0.0261892, 0.0276734, 0.0261214, 0.0261694, 0.0263513, 0.0272923, 0.0276535, 0.0279078, 0.0274587, 0.0261418, 0.0312418, 0.0274762, 0.0264591, 0.0279257, 0.0261804, 0.0259863, 0.0260495, 0.0268778, 0.0260614, 0.026042, 0.0261562, 0.0260926, 0.0260503, 0.0261328, 0.0280051, 0.0276177, 0.026203, 0.0274805, 0.0286712, 0.0278228, 0.0269899, 0.0313305, 0.0276747, 0.0276598, 0.0261404, 0.0286484, 0.0347276, 0.0261713, 0.0326677, 0.0291719, 0.0329474, 0.0312528, 
Grid State Exact; 0.0001; 0.0169836, 0.0113347, 0.0169188, 0.0150333, 0.00945177, 0.00945026, 0.00945138, 0.00945098, 0.00945109, 0.00945143, 0.0113365, 0.00945107, 0.00945173, 0.0113364, 0.00945111, 0.0150252, 0.0132098, 0.00944919, 0.00945165, 0.00945103, 0.0113322, 0.00945046, 0.00567107, 0.015111, 0.00945167, 0.0131591, 0.00944813, 0.00945169, 0.00945159, 0.00945171, 0.0113248, 0.00945129, 0.00945162, 0.00944715, 0.00945083, 0.0111776, 0.0113344, 0.00945166, 0.0132174, 0.0151165, 0.00756144, 0.0188033, 0.0113415, 0.00945117, 0.00756143, 0.00945168, 0.00945167, 0.0150712, 0.00945121, 0.00945164, 0.00945161, 0.0131441, 0.011255, 0.00945143, 0.0094516, 0.0113394, 0.0188494, 0.0151195, 0.00945153, 0.0151151, 0.00944594, 0.00944825, 0.015113, 0.00945168, 0.018775, 0.0151115, 0.00945112, 0.00945174, 0.0150692, 0.00756141, 0.0113419, 0.00756143, 0.00945175, 0.00945138, 0.00945175, 0.00945174, 0.0094514, 0.00945164, 0.018694, 0.0169032, 0.0151144, 0.0151173, 0.0150459, 0.00756141, 0.0150552, 0.0187616, 0.00945175, 0.00756144, 0.00756144, 0.0167546, 0.0129682, 0.00945119, 0.020556, 0.00945179, 0.0113378, 0.00945078, 0.0187115, 0.0185211, 0.0207264, 0.0204279, 
