Algorithm;Hyperparameter (C);Values
Faure_1500_20.txt_G_0.000010; 1e-05; 0.00523315, 0.0058752, 0.00465953, 0.00466047, 0.00461986, 0.00399964, 0.00531641, 0.00581934, 0.00399595, 0.00399825, 0.004577, 0.00464832, 0.00526317, 0.00440679, 0.00399868, 0.00435271, 0.00464274, 0.00463067, 0.00399716, 0.00460069, 0.00464219, 0.0046559, 0.00396014, 0.00398261, 0.00526519, 0.00530959, 0.00399429, 0.00459465, 0.00464447, 0.00399943, 0.00464619, 0.00629919, 0.00515454, 0.00464874, 0.00464787, 0.00464563, 0.00582385, 0.0046357, 0.00461513, 0.00525724, 0.00463165, 0.00529696, 0.00435761, 0.00464358, 0.00500479, 0.00457701, 0.00416327, 0.00459474, 0.00394664, 0.00520963, 0.00656461, 0.00519598, 0.00562915, 0.00397725, 0.00465532, 0.0054039, 0.00562768, 0.00463491, 0.00422245, 0.00398779, 0.00627088, 0.00574687, 0.00399505, 0.00528148, 0.00453426, 0.00399133, 0.00518013, 0.00399606, 0.00448516, 0.00498675, 0.0045538, 0.00464895, 0.00456288, 0.00591212, 0.00456488, 0.00388539, 0.00464367, 0.00524412, 0.00399294, 0.0055376, 0.00478383, 0.00670123, 0.00398636, 0.00465735, 0.00590717, 0.00663533, 0.00561621, 0.00523103, 0.00489854, 0.00399418, 0.00462084, 0.00569762, 0.00599922, 0.00425224, 0.00546746, 0.00528258, 0.00465541, 0.00458374, 0.00460792, 0.00524648, 
Faure_2000_50.txt_G_0.464159; 0.464159; 0.003, 0.004, 0.0035, 0.0035, 0.003, 0.003, 0.006, 0.004, 0.0035, 0.0035, 0.0035, 0.0025, 0.005, 0.005, 0.003, 0.0025, 0.003, 0.003, 0.0035, 0.0035, 0.004, 0.003, 0.003, 0.0035, 0.0035, 0.004, 0.004, 0.003, 0.0055, 0.003, 0.003, 0.003, 0.003, 0.003, 0.0045, 0.0035, 0.003, 0.0035, 0.003, 0.003, 0.003, 0.0025, 0.0055, 0.0025, 0.003, 0.003, 0.0025, 0.004, 0.003, 0.0035, 0.0025, 0.004, 0.0035, 0.004, 0.0045, 0.0035, 0.005, 0.003, 0.0035, 0.0035, 0.003, 0.0035, 0.0035, 0.003, 0.0035, 0.0035, 0.003, 0.003, 0.003, 0.004, 0.0035, 0.003, 0.003, 0.0035, 0.003, 0.003, 0.0025, 0.004, 0.004, 0.003, 0.0045, 0.003, 0.0035, 0.0055, 0.003, 0.0035, 0.005, 0.003, 0.003, 0.004, 0.0035, 0.0035, 0.0035, 0.0035, 0.0035, 0.003, 0.0025, 0.0045, 0.0035, 0.003, 
Faure_4000_50.txt_G_0.010000; 0.01; 0.00175, 0.00225, 0.00175, 0.0025, 0.002, 0.0015, 0.00175, 0.00175, 0.00175, 0.0015, 0.00175, 0.0015, 0.0015, 0.0025, 0.002, 0.00225, 0.00125, 0.0015, 0.002, 0.00175, 0.0015, 0.0015, 0.00125, 0.00225, 0.00275, 0.0015, 0.002, 0.0015, 0.002, 0.0025, 0.0015, 0.00175, 0.00175, 0.003, 0.0015, 0.00175, 0.0015, 0.00225, 0.00125, 0.0015, 0.002, 0.0015, 0.002, 0.00175, 0.0015, 0.00175, 0.0015, 0.00175, 0.00175, 0.00175, 0.00125, 0.002, 0.002, 0.0015, 0.00175, 0.00275, 0.0015, 0.00175, 0.00175, 0.00175, 0.0025, 0.0015, 0.00175, 0.00175, 0.00175, 0.0015, 0.00125, 0.00125, 0.002, 0.00175, 0.00175, 0.0015, 0.00125, 0.002, 0.0015, 0.00175, 0.00225, 0.0015, 0.00175, 0.00175, 0.0015, 0.00175, 0.0015, 0.00175, 0.00125, 0.00125, 0.00125, 0.0015, 0.00225, 0.0015, 0.00125, 0.0015, 0.002, 0.0015, 0.0015, 0.00175, 0.0015, 0.0015, 0.002, 0.0015, 
Halton_30_10.txt_G_0.000215; 0.000215443; 0.163064, 0.169087, 0.222342, 0.245356, 0.215554, 0.266348, 0.236186, 0.244101, 0.268346, 0.162126, 0.220716, 0.182145, 0.175553, 0.290797, 0.256021, 0.144828, 0.221027, 0.291089, 0.163448, 0.147812, 0.270629, 0.20537, 0.3259, 0.257958, 0.159202, 0.257647, 0.132092, 0.25374, 0.256043, 0.27805, 0.217244, 0.316831, 0.319537, 0.196552, 0.268567, 0.261185, 0.339061, 0.315884, 0.210234, 0.159829, 0.148562, 0.258887, 0.222352, 0.23552, 0.284165, 0.249133, 0.274656, 0.233943, 0.288839, 0.314543, 0.264223, 0.311485, 0.308772, 0.253464, 0.342977, 0.162545, 0.335867, 0.36803, 0.304265, 0.283562, 0.329069, 0.249367, 0.26784, 0.348956, 0.287894, 0.272156, 0.181502, 0.250444, 0.328678, 0.264075, 0.196908, 0.381164, 0.249097, 0.26495, 0.339573, 0.245016, 0.318355, 0.186384, 0.313874, 0.172462, 0.133434, 0.164924, 0.272884, 0.14468, 0.245902, 0.265601, 0.239616, 0.362921, 0.225444, 0.305911, 0.189766, 0.263823, 0.214179, 0.114603, 0.183172, 0.295366, 0.24433, 0.298898, 0.226943, 0.329943, 
Halton_50_3.txt_G_0.004642; 0.00464159; 0.09842, 0.104713, 0.0993518, 0.104713, 0.0996354, 0.0996354, 0.0996354, 0.0982222, 0.0988425, 0.100135, 0.0988425, 0.0996354, 0.103472, 0.103472, 0.0988425, 0.0988425, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.0974999, 0.100135, 0.104713, 0.0988425, 0.104713, 0.104713, 0.103472, 0.104713, 0.100135, 0.104713, 0.104713, 0.104713, 0.104713, 0.100135, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.0988425, 0.09842, 0.0988425, 0.103472, 0.103472, 0.0996354, 0.0988425, 0.0996354, 0.0996354, 0.0996354, 0.104713, 0.0800003, 0.0974999, 0.104713, 0.0899999, 0.0800003, 0.104713, 0.0782223, 0.0974999, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.100135, 0.104713, 0.104713, 0.104713, 0.104713, 0.100135, 0.104713, 0.0952314, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.104713, 0.100135, 0.104713, 
Halton_50_4.txt_G_0.001000; 0.001; 0.0874376, 0.108344, 0.0911109, 0.117778, 0.113016, 0.103556, 0.117679, 0.118693, 0.107517, 0.0704294, 0.124519, 0.111641, 0.120535, 0.118333, 0.119728, 0.118693, 0.0968707, 0.119728, 0.120535, 0.120298, 0.124519, 0.101632, 0.118092, 0.111111, 0.11541, 0.128254, 0.118693, 0.118693, 0.124519, 0.124519, 0.118092, 0.120535, 0.116574, 0.0789721, 0.120535, 0.120535, 0.120535, 0.116048, 0.120535, 0.120298, 0.122245, 0.118333, 0.120535, 0.120535, 0.118476, 0.120535, 0.124519, 0.120535, 0.120535, 0.118092, 0.120535, 0.118092, 0.118092, 0.118092, 0.118092, 0.118092, 0.122245, 0.112261, 0.11487, 0.0992497, 0.120535, 0.103556, 0.11541, 0.117679, 0.120535, 0.111111, 0.0980864, 0.120298, 0.118693, 0.120535, 0.120535, 0.120535, 0.112083, 0.120535, 0.116882, 0.118092, 0.119728, 0.111555, 0.106834, 0.120535, 0.120535, 0.113333, 0.114875, 0.120535, 0.112517, 0.120535, 0.116632, 0.120298, 0.119728, 0.103667, 0.119728, 0.124519, 0.118092, 0.118092, 0.118092, 0.118092, 0.118092, 0.120535, 0.118092, 0.124519, 
Halton_50_5.txt_G_0.000215; 0.000215443; 0.148677, 0.147643, 0.143337, 0.176508, 0.159378, 0.18458, 0.158788, 0.169723, 0.177487, 0.156613, 0.175078, 0.159138, 0.148595, 0.0947867, 0.154913, 0.169723, 0.146579, 0.177487, 0.150303, 0.162329, 0.164512, 0.163492, 0.150216, 0.156585, 0.163011, 0.18546, 0.188556, 0.141246, 0.154368, 0.164512, 0.174313, 0.18546, 0.146045, 0.155564, 0.175078, 0.18458, 0.188556, 0.132004, 0.17607, 0.188556, 0.179516, 0.169711, 0.188556, 0.18546, 0.18546, 0.155101, 0.18546, 0.151917, 0.18546, 0.174313, 0.18546, 0.17413, 0.188556, 0.158788, 0.188556, 0.169723, 0.188556, 0.188556, 0.15201, 0.144024, 0.18546, 0.155891, 0.16466, 0.145588, 0.109578, 0.169723, 0.166721, 0.188556, 0.174313, 0.18546, 0.188556, 0.182695, 0.188556, 0.165926, 0.177487, 0.177487, 0.182243, 0.18546, 0.156411, 0.160182, 0.157057, 0.156543, 0.169723, 0.188556, 0.162329, 0.179516, 0.153224, 0.175078, 0.188556, 0.18546, 0.175078, 0.164512, 0.188556, 0.18546, 0.188556, 0.175078, 0.157248, 0.18546, 0.18452, 0.18546, 
Halton_50_6.txt_G_0.000464; 0.000464159; 0.131269, 0.228064, 0.228064, 0.160032, 0.211495, 0.199779, 0.227666, 0.227666, 0.110346, 0.210893, 0.198256, 0.177473, 0.227666, 0.142506, 0.146585, 0.190954, 0.227666, 0.191161, 0.227666, 0.194798, 0.227666, 0.200235, 0.227666, 0.202662, 0.180529, 0.209951, 0.227666, 0.227666, 0.228064, 0.227666, 0.146736, 0.227666, 0.227666, 0.209023, 0.217656, 0.227666, 0.227666, 0.228064, 0.227666, 0.227666, 0.212028, 0.227666, 0.227666, 0.156831, 0.227666, 0.198863, 0.228064, 0.227666, 0.146847, 0.169245, 0.227666, 0.227666, 0.131793, 0.227666, 0.227666, 0.227666, 0.227666, 0.135039, 0.196961, 0.2116, 0.220123, 0.146017, 0.173055, 0.227666, 0.19902, 0.110408, 0.227666, 0.201126, 0.179974, 0.227666, 0.227666, 0.227666, 0.221422, 0.227666, 0.171838, 0.194798, 0.170854, 0.209951, 0.224624, 0.131683, 0.171139, 0.216736, 0.160105, 0.227666, 0.182926, 0.227666, 0.189931, 0.227666, 0.227666, 0.218745, 0.227666, 0.19902, 0.144462, 0.209951, 0.228064, 0.224624, 0.227666, 0.227666, 0.227666, 0.227666, 
Halton_50_7.txt_G_0.002154; 0.00215443; 0.182304, 0.20646, 0.248655, 0.244079, 0.223005, 0.247493, 0.22194, 0.238628, 0.15903, 0.235456, 0.205885, 0.255981, 0.251241, 0.16525, 0.255916, 0.240899, 0.243772, 0.256563, 0.237808, 0.251241, 0.23876, 0.228107, 0.235746, 0.191398, 0.247956, 0.190903, 0.2433, 0.232607, 0.221621, 0.243199, 0.242018, 0.217474, 0.249333, 0.19067, 0.21492, 0.24674, 0.209867, 0.263008, 0.238615, 0.227461, 0.248655, 0.241909, 0.25428, 0.25411, 0.232907, 0.253184, 0.220217, 0.239028, 0.240139, 0.232958, 0.245725, 0.221604, 0.237211, 0.234609, 0.201506, 0.248515, 0.245725, 0.263366, 0.267753, 0.181155, 0.223294, 0.241565, 0.207744, 0.25266, 0.267753, 0.228318, 0.213718, 0.236772, 0.244496, 0.25601, 0.249581, 0.227859, 0.25112, 0.24726, 0.195028, 0.230145, 0.243852, 0.243927, 0.256668, 0.240211, 0.246454, 0.235958, 0.241565, 0.25112, 0.229686, 0.230593, 0.248673, 0.245119, 0.25411, 0.238937, 0.248773, 0.249581, 0.152213, 0.248107, 0.246277, 0.220017, 0.252558, 0.258011, 0.254994, 0.256668, 
Halton_50_8.txt_G_0.000046; 4.64159e-05; 0.283822, 0.116403, 0.186844, 0.153454, 0.19522, 0.183508, 0.0972616, 0.0804959, 0.196175, 0.168393, 0.267104, 0.261584, 0.250709, 0.143977, 0.106002, 0.267404, 0.251317, 0.291711, 0.163853, 0.22508, 0.282545, 0.238249, 0.275696, 0.225376, 0.227216, 0.305938, 0.231037, 0.274278, 0.259603, 0.301168, 0.206668, 0.314119, 0.239203, 0.0863983, 0.169394, 0.150479, 0.303912, 0.287788, 0.299857, 0.30315, 0.291439, 0.267018, 0.315436, 0.180248, 0.302501, 0.13678, 0.234078, 0.31157, 0.265933, 0.282333, 0.182528, 0.150913, 0.209457, 0.181616, 0.281581, 0.247428, 0.320123, 0.284864, 0.264275, 0.181997, 0.281199, 0.279408, 0.268046, 0.253819, 0.29766, 0.178295, 0.205941, 0.306895, 0.230699, 0.265856, 0.29356, 0.198572, 0.219013, 0.221686, 0.271326, 0.297753, 0.22803, 0.187921, 0.253624, 0.229738, 0.264571, 0.292217, 0.304627, 0.290375, 0.242799, 0.25653, 0.2224, 0.260016, 0.176735, 0.282155, 0.24524, 0.288993, 0.289077, 0.299293, 0.209871, 0.160506, 0.270915, 0.250378, 0.276628, 0.316838, 
