Algorithm;Hyperparameter (C);Values
sq; 0.0001; 0.117748, 0.0525426, 0.0618676, 0.0641055, 0.0988952, 0.0683342, 0.0765363, 0.0511021, 0.0910268, 0.0596394, 0.0663138, 0.0682755, 0.0699745, 0.0972977, 0.0861039, 0.109092, 0.0618021, 0.105899, 0.0872707, 0.0849943, 0.0992562, 0.113974, 0.122181, 0.0980518, 0.107747, 0.0737705, 0.069186, 0.0988153, 0.149425, 0.127515, 0.0506715, 0.0986005, 0.156303, 0.0751852, 0.0890333, 0.0586117, 0.118675, 0.0542736, 0.0933024, 0.0933087, 0.062886, 0.111046, 0.0853253, 0.0951564, 0.0740872, 0.0657308, 0.0733753, 0.120869, 0.0775039, 0.0952074, 0.158904, 0.11102, 0.118851, 0.0925723, 0.0941629, 0.0980518, 0.0834491, 0.0954001, 0.0952262, 0.118616, 0.125908, 0.117048, 0.0870429, 0.0679689, 0.113401, 0.0462186, 0.0846143, 0.120232, 0.0931277, 0.106856, 0.060902, 0.0901246, 0.0818925, 0.0894971, 0.113123, 0.126539, 0.142174, 0.0852742, 0.115336, 0.121846, 0.0718018, 0.0674557, 0.0839209, 0.115063, 0.0626432, 0.084661, 0.0878434, 0.0866911, 0.109567, 0.125381, 0.108778, 0.106909, 0.0542085, 0.148278, 0.157523, 0.158904, 0.13123, 0.155077, 0.133946, 0.118139, 
sqrt; 0.0001; 0.0890333, 0.062886, 0.113401, 0.060902, 0.0834491, 0.109092, 0.084661, 0.0657308, 0.111046, 0.0818925, 0.0751852, 0.0682755, 0.0462186, 0.0511021, 0.0980518, 0.0586117, 0.0925723, 0.0525426, 0.113123, 0.118675, 0.0992562, 0.122181, 0.117048, 0.0933024, 0.0952074, 0.125908, 0.0954001, 0.0618676, 0.0988153, 0.105899, 0.107747, 0.0542736, 0.157523, 0.0740872, 0.0846143, 0.0980518, 0.120869, 0.0972977, 0.121846, 0.0931277, 0.0986005, 0.0839209, 0.118851, 0.106856, 0.0870429, 0.117748, 0.0699745, 0.0941629, 0.11102, 0.0849943, 0.0910268, 0.0626432, 0.0894971, 0.0641055, 0.0775039, 0.0737705, 0.0852742, 0.118616, 0.0506715, 0.127515, 0.0901246, 0.0866911, 0.0988952, 0.0733753, 0.0933087, 0.113974, 0.0683342, 0.0596394, 0.0618021, 0.0765363, 0.109567, 0.0951564, 0.118139, 0.115336, 0.108778, 0.158904, 0.0679689, 0.0872707, 0.0878434, 0.0952262, 0.133946, 0.0861039, 0.0674557, 0.126539, 0.155077, 0.0542085, 0.0663138, 0.0853253, 0.148278, 0.125381, 0.158904, 0.149425, 0.0718018, 0.120232, 0.106909, 0.142174, 0.156303, 0.115063, 0.13123, 0.069186, 
Normal; 0.000215443; 0.0657308, 0.120869, 0.120957, 0.0870429, 0.0849943, 0.0679689, 0.123743, 0.0462186, 0.054017, 0.122718, 0.0542085, 0.0910268, 0.111046, 0.128569, 0.113123, 0.0542736, 0.0890333, 0.062886, 0.0604526, 0.115355, 0.0579691, 0.0853253, 0.0659752, 0.0980518, 0.0894971, 0.0682277, 0.0834491, 0.0626432, 0.0776427, 0.105006, 0.122181, 0.0595685, 0.0818925, 0.0596394, 0.0819719, 0.0733753, 0.126539, 0.120232, 0.11102, 0.0951564, 0.104129, 0.0586117, 0.104429, 0.118675, 0.0511021, 0.118514, 0.0827245, 0.157523, 0.0954001, 0.0775039, 0.109092, 0.109567, 0.0952074, 0.0737705, 0.0579227, 0.129552, 0.115336, 0.0925723, 0.0931277, 0.158904, 0.0933087, 0.0641055, 0.0525426, 0.107747, 0.0618676, 0.0952262, 0.0980518, 0.11709, 0.0918811, 0.0901246, 0.0972977, 0.0663138, 0.125908, 0.0699745, 0.125381, 0.114111, 0.0673669, 0.0933024, 0.160336, 0.118616, 0.0718018, 0.121846, 0.0977615, 0.106856, 0.0618021, 0.0872707, 0.0682755, 0.113974, 0.069186, 0.0892038, 0.0992562, 0.0841413, 0.0941629, 0.112901, 0.158904, 0.127515, 0.108778, 0.139857, 0.142174, 0.149425, 
sq; 0.000215443; 0.0604526, 0.0641055, 0.0952262, 0.0542736, 0.0626432, 0.0776427, 0.0918811, 0.0618676, 0.120957, 0.0941629, 0.0954001, 0.0511021, 0.111046, 0.0980518, 0.0933024, 0.0819719, 0.0579691, 0.118675, 0.0951564, 0.109567, 0.120869, 0.0718018, 0.107747, 0.0980518, 0.0890333, 0.062886, 0.0525426, 0.0737705, 0.109092, 0.0596394, 0.122718, 0.118514, 0.115336, 0.054017, 0.11709, 0.0595685, 0.0699745, 0.0901246, 0.113123, 0.0673669, 0.0972977, 0.0586117, 0.129552, 0.0579227, 0.0775039, 0.0657308, 0.0931277, 0.0933087, 0.0834491, 0.0870429, 0.0910268, 0.0925723, 0.125908, 0.104429, 0.0952074, 0.0679689, 0.0818925, 0.127515, 0.122181, 0.0733753, 0.106856, 0.125381, 0.113974, 0.0659752, 0.105006, 0.0853253, 0.0618021, 0.149425, 0.157523, 0.11102, 0.0663138, 0.142174, 0.0894971, 0.0872707, 0.0992562, 0.0462186, 0.120232, 0.0682755, 0.128569, 0.158904, 0.0977615, 0.121846, 0.0682277, 0.0841413, 0.104129, 0.160336, 0.0542085, 0.158904, 0.118616, 0.108778, 0.114111, 0.0849943, 0.126539, 0.115355, 0.112901, 0.139857, 0.123743, 0.069186, 0.0892038, 0.0827245, 
sqrt; 0.000215443; 0.0977615, 0.0933024, 0.113123, 0.0894971, 0.0682277, 0.0980518, 0.0604526, 0.0841413, 0.0992562, 0.104129, 0.0542085, 0.120957, 0.0618021, 0.0657308, 0.0870429, 0.0579227, 0.0775039, 0.120869, 0.129552, 0.0679689, 0.0626432, 0.0618676, 0.0819719, 0.0910268, 0.109092, 0.109567, 0.0980518, 0.118675, 0.125908, 0.0542736, 0.0776427, 0.0818925, 0.0733753, 0.0579691, 0.122181, 0.062886, 0.0849943, 0.0659752, 0.0951564, 0.105006, 0.113974, 0.0834491, 0.158904, 0.111046, 0.128569, 0.0931277, 0.121846, 0.106856, 0.054017, 0.0673669, 0.0952074, 0.0682755, 0.0462186, 0.0933087, 0.0925723, 0.0941629, 0.115336, 0.149425, 0.0890333, 0.0596394, 0.120232, 0.108778, 0.11709, 0.0586117, 0.158904, 0.0972977, 0.0901246, 0.118616, 0.0511021, 0.0699745, 0.139857, 0.0525426, 0.126539, 0.0853253, 0.115355, 0.0954001, 0.107747, 0.114111, 0.104429, 0.0952262, 0.157523, 0.0737705, 0.0641055, 0.127515, 0.160336, 0.0595685, 0.118514, 0.0718018, 0.125381, 0.112901, 0.0918811, 0.123743, 0.0663138, 0.069186, 0.0892038, 0.0872707, 0.122718, 0.11102, 0.0827245, 0.142174, 
Normal; 0.000464159; 0.062886, 0.0516267, 0.0952262, 0.120957, 0.0737705, 0.125908, 0.0650751, 0.0818925, 0.115336, 0.0894971, 0.125186, 0.0953066, 0.0718018, 0.0980518, 0.0972977, 0.0618021, 0.0656558, 0.061458, 0.0586117, 0.103179, 0.0699745, 0.098859, 0.0943943, 0.0931277, 0.118514, 0.0657308, 0.0992562, 0.0639926, 0.0951564, 0.0972911, 0.0659752, 0.104129, 0.0511021, 0.0925723, 0.104429, 0.112817, 0.0728099, 0.121846, 0.112901, 0.0818437, 0.0830988, 0.0625843, 0.0462186, 0.106394, 0.054017, 0.0952074, 0.119459, 0.109092, 0.0772701, 0.118616, 0.0829401, 0.120869, 0.122181, 0.120232, 0.0801145, 0.127515, 0.0679689, 0.10102, 0.119543, 0.0711925, 0.0542736, 0.0891291, 0.0853253, 0.0733753, 0.0929004, 0.0626432, 0.0980518, 0.0834491, 0.105006, 0.0910388, 0.12549, 0.0954001, 0.0641055, 0.0525426, 0.0852867, 0.129552, 0.0849943, 0.0645849, 0.0841413, 0.122718, 0.0596394, 0.0849943, 0.119008, 0.119509, 0.107747, 0.128569, 0.0699204, 0.0799433, 0.108778, 0.0977615, 0.125381, 0.125552, 0.111593, 0.131263, 0.122718, 0.158904, 0.0739773, 0.10347, 0.108185, 0.109844, 
sq; 0.000464159; 0.109092, 0.0639926, 0.0951564, 0.0977615, 0.0516267, 0.120869, 0.0733753, 0.054017, 0.0542736, 0.104129, 0.0586117, 0.0834491, 0.0894971, 0.119459, 0.0943943, 0.0657308, 0.0931277, 0.0929004, 0.0656558, 0.111593, 0.121846, 0.0462186, 0.119008, 0.061458, 0.122181, 0.0511021, 0.0728099, 0.0801145, 0.0772701, 0.0659752, 0.0830988, 0.104429, 0.0972911, 0.128569, 0.0699745, 0.125908, 0.0980518, 0.0952074, 0.0925723, 0.0891291, 0.062886, 0.0849943, 0.0953066, 0.0992562, 0.0626432, 0.107747, 0.0954001, 0.118616, 0.0711925, 0.0980518, 0.0650751, 0.0718018, 0.0525426, 0.0910388, 0.0625843, 0.0737705, 0.108185, 0.0699204, 0.122718, 0.129552, 0.120957, 0.103179, 0.0952262, 0.0818925, 0.115336, 0.0679689, 0.0641055, 0.0596394, 0.12549, 0.0972977, 0.0618021, 0.0849943, 0.0853253, 0.0841413, 0.0799433, 0.131263, 0.10102, 0.118514, 0.0852867, 0.0829401, 0.158904, 0.109844, 0.105006, 0.119509, 0.112817, 0.098859, 0.0645849, 0.119543, 0.120232, 0.10347, 0.112901, 0.0818437, 0.125381, 0.125552, 0.125186, 0.122718, 0.127515, 0.0739773, 0.106394, 0.108778, 
sqrt; 0.000464159; 0.0586117, 0.062886, 0.122718, 0.0699745, 0.0943943, 0.125381, 0.0818925, 0.0679689, 0.128569, 0.125908, 0.12549, 0.0656558, 0.0980518, 0.0952074, 0.104129, 0.108778, 0.0954001, 0.120869, 0.0977615, 0.129552, 0.0801145, 0.0516267, 0.0931277, 0.0650751, 0.0834491, 0.120232, 0.0639926, 0.054017, 0.0894971, 0.0853253, 0.109092, 0.0849943, 0.0525426, 0.105006, 0.115336, 0.103179, 0.0891291, 0.061458, 0.0737705, 0.0953066, 0.111593, 0.0829401, 0.118514, 0.0849943, 0.0625843, 0.0972977, 0.0645849, 0.0659752, 0.107747, 0.0980518, 0.0626432, 0.0618021, 0.104429, 0.119543, 0.0951564, 0.119509, 0.0972911, 0.098859, 0.0462186, 0.0711925, 0.0728099, 0.0992562, 0.10102, 0.0733753, 0.0596394, 0.0542736, 0.10347, 0.0699204, 0.0925723, 0.122181, 0.0910388, 0.125186, 0.0830988, 0.0929004, 0.0818437, 0.0772701, 0.112817, 0.0952262, 0.0852867, 0.112901, 0.118616, 0.106394, 0.0657308, 0.121846, 0.119008, 0.0511021, 0.0641055, 0.0718018, 0.0799433, 0.119459, 0.120957, 0.127515, 0.108185, 0.0739773, 0.0841413, 0.158904, 0.131263, 0.122718, 0.125552, 0.109844, 
Normal; 0.001; 0.0718018, 0.0952074, 0.0898957, 0.0682427, 0.0951564, 0.0454548, 0.102886, 0.0980518, 0.0564772, 0.0830988, 0.0734105, 0.0962945, 0.0980518, 0.0858412, 0.0824107, 0.0763096, 0.100442, 0.0947348, 0.0835525, 0.0650751, 0.0625843, 0.0657291, 0.0694084, 0.0989023, 0.0653885, 0.0943773, 0.0710291, 0.0954001, 0.0595685, 0.0590955, 0.0984175, 0.0645849, 0.0760999, 0.0847776, 0.0523607, 0.0834491, 0.0958232, 0.0885842, 0.122181, 0.0663339, 0.0525426, 0.0863172, 0.112817, 0.0659752, 0.0646464, 0.0633941, 0.0537726, 0.148024, 0.0972088, 0.0927992, 0.0631964, 0.070374, 0.102676, 0.088292, 0.0953417, 0.0595685, 0.105006, 0.11401, 0.0657308, 0.0929004, 0.10302, 0.0626432, 0.0972977, 0.0637681, 0.0679689, 0.109092, 0.0778445, 0.119509, 0.0910098, 0.120232, 0.111887, 0.125381, 0.0996246, 0.122718, 0.0977615, 0.119543, 0.0659848, 0.0542736, 0.0618021, 0.0883649, 0.0923703, 0.0849943, 0.0504656, 0.121258, 0.108185, 0.096813, 0.106283, 0.102788, 0.104404, 0.078539, 0.0988169, 0.0909819, 0.0698197, 0.1213, 0.135019, 0.125552, 0.102088, 0.106232, 0.10381, 0.0589076, 
sq; 0.001; 0.070374, 0.0633941, 0.0679689, 0.0980518, 0.112817, 0.0778445, 0.0883649, 0.0977615, 0.0824107, 0.0645849, 0.0984175, 0.0954001, 0.0863172, 0.0834491, 0.0523607, 0.125381, 0.0663339, 0.0646464, 0.0849943, 0.0657291, 0.0454548, 0.0980518, 0.0589076, 0.0952074, 0.0625843, 0.0710291, 0.0835525, 0.0657308, 0.0763096, 0.0694084, 0.100442, 0.105006, 0.0953417, 0.0595685, 0.102088, 0.0659848, 0.0626432, 0.0830988, 0.0929004, 0.0650751, 0.0618021, 0.11401, 0.0659752, 0.0943773, 0.0698197, 0.0923703, 0.0595685, 0.0989023, 0.0972088, 0.0958232, 0.0898957, 0.0972977, 0.0590955, 0.0760999, 0.0637681, 0.0718018, 0.125552, 0.0537726, 0.0542736, 0.0653885, 0.0564772, 0.109092, 0.108185, 0.121258, 0.0927992, 0.0947348, 0.135019, 0.0962945, 0.122181, 0.0525426, 0.119543, 0.120232, 0.104404, 0.0682427, 0.096813, 0.102886, 0.0988169, 0.119509, 0.0847776, 0.0951564, 0.10302, 0.0885842, 0.148024, 0.0910098, 0.0858412, 0.0734105, 0.0996246, 0.0631964, 0.111887, 0.106283, 0.0504656, 0.102788, 0.088292, 0.078539, 0.106232, 0.102676, 0.0909819, 0.122718, 0.1213, 0.10381, 
